artist_id,name,genres,popularity,followers,total_streams,daily_chart_times,avg_chart_pos,top_peak_pos
3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson,"dance pop, neo mellow, pop, pop rock, post-teen pop, talent show",75,8029248,104052367.0,45.0,88.0,8.0
6P5NO5hzJbuOqSdyPB7SJM,Ashe,"alt z, electropop, indie pop, pop",71,707991,103744051.0,87.0,83.0,33.0
2kqUKsTuEj1lPbm6BSn1AU,Rich Music LTD,"latin, reggaeton, trap latino",67,208115,103535076.0,123.0,136.0,86.0
2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,"pop, pop rap, r&b, rap, toronto rap, trap, urban contemporary",78,3246712,101297507.0,91.0,148.0,16.0
2feDdbD5araYcm6JhFHHw7,Labrinth,"indie poptimism, pop",80,1721389,99387643.0,98.0,104.0,51.0
49e4v89VmlDcFCMyDv9wQ9,Dean Martin,"adult standards, easy listening, lounge, vocal jazz",69,1165557,97611236.0,47.0,96.0,9.0
1qQLhymHXFPtP5U8KNKsm6,Apache 207,german hip hop,74,1725987,97203262.0,111.0,148.0,26.0
1pgDilWYDWLoOgGjf1iHNu,Zion,"latin, latin hip hop, reggaeton, reggaeton flow, trap latino",74,2497977,94630200.0,116.0,148.0,86.0
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,"barbadian pop, dance pop, pop, urban contemporary",89,45065605,94408109.0,82.0,105.0,16.0
6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd,"melodic rap, rap, trap",88,6679047,94036488.0,98.0,141.0,15.0
7nqlScm2smydSRl13eaP8E,Nea,"scandipop, swedish pop",68,39229,93285326.0,98.0,107.0,68.0
4bL2B6hmLlMWnUEZnorEtG,Felix Jaehn,"dance pop, edm, electro house, german dance, pop, pop dance, pop edm, tropical house",78,1138834,93285326.0,98.0,107.0,68.0
3wcj11K77LjEY1PkEazffa,Burna Boy,"afro dancehall, dancehall, nigerian hip hop, nigerian pop",77,1346082,92296861.0,94.0,135.0,54.0
0c173mlxpT3dSFRgMO8XPh,Big Sean,"detroit hip hop, hip hop, pop, pop rap, rap, southern hip hop, trap",82,8806914,92072257.0,99.0,142.0,51.0
6AT27ojKlBuZToFIGwQZDc,Sammy & Falsetto,"perreo, reggaeton, reggaeton flow, trap latino",52,261803,90722392.0,96.0,112.0,71.0
6TOKWuw816UU34AE4MCZqr,Beltito,,18,760,90722392.0,96.0,112.0,71.0
7iXYHQPYLQSz3b3hbPJpk3,Towy,reggaeton flow,52,15595,90722392.0,96.0,112.0,71.0
71FfEgML4GAokNHmW1GKPF,Sammy,,61,725,90722392.0,96.0,112.0,71.0
2pG0eQLB8CbmmWWmjJi4yd,Osquel,reggaeton flow,53,11167,90722392.0,96.0,112.0,71.0
6HqgxkTt9KGyt27zYrwVan,Super Yei,"latin, reggaeton, reggaeton flow, trap latino",65,298067,90722392.0,96.0,112.0,71.0
6wcKDqJRY3TzbcdRKo6EiE,Jone Quest,,58,755,90722392.0,96.0,112.0,71.0
2fsk4VlJdNF6G8cCMDrrzB,Norma Jean Martine,nyc pop,65,9427,90101558.0,107.0,152.0,50.0
4AKwRarlmsUlLjIwt38NLw,Ofenbach,"edm, electro house, new french touch, pop, pop dance, tropical house",75,441722,90101558.0,107.0,152.0,50.0
2h6hAChW74hB9HvrNoK1RY,Quarterhead,,65,3750,90101558.0,107.0,152.0,50.0
7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,"hip hop, pop, pop rap, r&b, southern hip hop, trap, trap soul",87,3928476,90051421.0,93.0,131.0,14.0
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,"dance pop, pop, post-teen pop, uk pop",80,17274698,89563450.0,88.0,88.0,26.0
7KHA7OOevgTDFhlym0oEyP,Adriana Proenza,spanish indie pop,64,17519,89557219.0,124.0,163.0,131.0
1MIVXf74SZHmTIp4V4paH4,Mabel,"dance pop, edm, pop, pop dance, post-teen pop, tropical house, uk pop",75,1424116,89343706.0,99.0,142.0,82.0
1kiq2kUV0cbLUhJsr7cpW0,Alida,norwegian pop,70,17050,88910461.0,107.0,119.0,81.0
4bODqflR0Wo3i3fCwwCIPq,Lenny Santos,,60,831,88842327.0,86.0,104.0,48.0
4m6ubhNsdwF4psNf3R8kwR,KHEA,"argentine hip hop, trap argentino, trap latino, trap triste",78,3359827,88842327.0,86.0,104.0,48.0
2kRfqPViCqYdSGhYSM9R0Q,Madison Beer,"alt z, dance pop, electropop, pop, post-teen pop",78,3682384,88368408.0,99.0,106.0,50.0
1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,"adult standards, easy listening, lounge",78,5063884,88017629.0,45.0,105.0,10.0
5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,"alt z, dream smp, electropop, pop",79,2948121,87697007.0,132.0,189.0,151.0
