artist_id,name,genres,followers,popularity
6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,"ohio hip hop,pop rap",4035390,85
6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,"brooklyn drill,melodic rap,nyc rap",3878319,85
4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,"gauze pop,indietronica,shiver pop",2044285,85
4fxd5Ee7UefO4CUXgwJ7IP,Giveon,"pop,r&b",1604124,85
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,electro house,30564606,84
4dpARuHxo51G3z768sgnrY,Adele,"british soul,pop,pop soul,uk pop",29201893,84
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,"k-pop,k-pop girl group",25241954,84
0EmeFodog0BfCgMzAIvKQp,Shakira,"colombian pop,dance pop,latin,latin pop,pop",22428777,84
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,"modern rock,rock",21182899,84
07YUOmWljBTXwIseAUd9TW,Sebastian Yatra,"colombian pop,latin,reggaeton,reggaeton colombiano",16648837,84
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,"garage rock,permanent wave,rock,sheffield indie",12725474,84
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"dance pop,piano rock,pop,pop rock",12467537,84
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,"dance pop,pop,pop rap,post-teen pop",10097891,84
0XwVARXT135rw8lyw1EeWP,Christian Nodal,"mariachi,nuevo regional mexicano,ranchera,regional mexican",8735786,84
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,"alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop",8308781,84
5he5w2lnU9x7JFhnwcekXX,Skrillex,"brostep,complextro,edm,electro",7929517,84
7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,"g funk,gangster rap,hip hop,pop rap,rap,west coast rap",7276815,84
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,"modern alternative rock,modern rock,pop",7010269,84
4SsVbpTthjScTS7U2hmr1X,Arcangel,"latin,latin hip hop,reggaeton,trap latino",6895020,84
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,"melodic rap,rap,trap",6889891,84
5LHRHt1k9lMyONurDHEdrp,Tyga,"dance pop,hip hop,pop rap,rap,southern hip hop,trap",6345296,84
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,"big room,brostep,dance pop,dutch edm,edm,house,pop,pop dance,slap house,trance,tropical house",5920591,84
0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,"hip hop,ohio hip hop,pop rap,rap",5154523,84
711MCceyCBcFnzjGY4Q7Un,AC/DC,"australian rock,hard rock,rock",20810065,83
6S2OmqARrzebs0tKUEyXyp,Demi Lovato,"dance pop,pop,post-teen pop",20723113,83
1vCWHaC5f2uS3yhpwWbIA6,Avicii,"dance pop,edm,pop,pop dance",20661111,83
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,"pop,r&b,soul",19972464,83
0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,"alternative rock,funk metal,funk rock,permanent wave",16812139,83
6olE6TJLqED3rqDCT0FyPh,Nirvana,"alternative rock,grunge,permanent wave,rock",13686339,83
3p7PcrEHaaKLJnPUGOtRlT,Henrique & Juliano,sertanejo universitario,13537750,83
1KCSPY1glIKqW2TotWuXOR,P!nk,"dance pop,pop",11850029,83
7n2Ycct7Beij7Dj7meI4X0,TWICE,"k-pop,k-pop girl group",10744227,83
4obzFoKoKRHIphyHzJ35G3,Becky G,"dance pop,latin,latin pop,latin viral pop,pop,rap latina,reggaeton,trap latino",10558121,83
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,"east coast hip hop,hip hop,rap,trap",9915550,83
3e7awlrlDSwF3iM0WBjGMp,Little Mix,"dance pop,girl group,pop,post-teen pop,talent show,uk pop",9592419,83
4IWBUUAFIplrNtaOHcJPRM,James Arthur,"pop,talent show,uk pop",8695010,83
2nszmSgqreHSdJA3zWPyrW,Luis Miguel,"bolero,latin,latin pop",7951336,83
3q7HBObVc0L8jNeTe5Gofh,50 Cent,"east coast hip hop,gangster rap,hip hop,pop rap,queens hip hop,rap",7784205,83
23fqKkggKUBHNkbKtXEls4,Kygo,"edm,pop,pop dance,tropical house",7714837,83
3E6xrwgnVfYCrCs0ePERDz,Wisin,"latin,latin hip hop,reggaeton,trap latino",7092575,83
0LcJLqbBmaGUft1e9Mm8HV,ABBA,"europop,swedish pop",6564534,83
6fOMl44jA4Sp5b9PpYCkzz,NF,"hip hop,pop rap,rap",6075924,83
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,"melodic rap,rap,trap",5983328,83
20sxb77xiYeusSH8cVdatc,Meek Mill,"hip hop,philly rap,pop rap,rap,southern hip hop,trap",5430055,83
02kJSzxNuaWGqwubyUba0Z,G-Eazy,"hip hop,indie pop rap,oakland hip hop,pop,pop rap,rap",4932649,83
1qto4hHid1P71emI6Fd8xi,Aventura,"bachata,bachata dominicana,latin,latin hip hop,latin pop,trap latino,tropical",4890157,83
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,"melodic rap,rap,trap",4289613,83
4npEfmQ6YuiwW1GpUmaq3F,Ava Max,"dance pop,pop",4227295,83
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,contemporary country,2338366,83
5hdhHgpxyniooUiQVaPxQ0,Nio Garcia,"latin,reggaeton,trap latino",2330838,83
4Gso3d4CscCijv0lmajZWs,Don Toliver,"pop,rap,trap",1714726,83
1pQWsZQehhS4wavwh7Fnxd,Lenny Tavárez,"latin,reggaeton,reggaeton flow,trap argentino,trap latino",1405470,83
6ASri4ePR7RlsvIQgWPJpS,iann dior,"melodic rap,pop rap",1346184,83
