artist_id,name,genres,followers,popularity,danceability,energy,tempo,valence,loudness,speechiness,liveness,acousticness,instrumentalness
64KEffDW9EtZ1y2vBYgq8T,Marshmello,"brostep,edm,pop,pop dance,progressive electro house",32146935,86,0.66,0.75,117.61,0.45,-4.12,0.08,0.21,0.1,0.0
7CajNmpbOovFoOoasH2HaY,Calvin Harris,"dance pop,edm,electro house,house,pop,progressive house,uk dance",22169481,86,0.75,0.76,112.55,0.63,-4.26,0.07,0.17,0.25,0.01
5WUlDfRSoLAfcVSX1WnrxN,Sia,"australian dance,australian pop,pop",21056836,86,0.57,0.69,132.19,0.42,-5.24,0.09,0.16,0.11,0.01
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",20728945,86,0.48,0.85,124.63,0.94,-9.2,0.05,0.04,0.64,0.0
4kYSro6naA4h99UJvo89HB,Cardi B,"dance pop,pop,pop rap,rap",18090996,86,0.84,0.66,127.29,0.53,-5.65,0.2,0.14,0.13,0.0
2wY79sveU1sp5g7SokKOiI,Sam Smith,"dance pop,pop,uk pop",17631250,86,0.56,0.43,111.74,0.33,-8.07,0.05,0.16,0.52,0.0
6KImCVD70vtIoJWnq6nGn3,Harry Styles,pop,16971880,86,0.54,0.59,114.69,0.41,-6.45,0.04,0.15,0.28,0.02
3PhoLpVuITZKcymswpck5b,Elton John,"glam rock,mellow gold,piano rock",7865980,86,0.62,0.66,140.1,0.43,-7.44,0.05,0.31,0.29,0.0
7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,"baton rouge rap,trap",7603169,86,0.74,0.7,132.06,0.56,-5.0,0.23,0.16,0.14,0.0
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator","hip hop,rap",7070738,86,0.55,0.58,108.92,0.37,-8.52,0.19,0.3,0.28,0.01
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,"east coast hip hop,hip hop,rap",6592421,86,0.67,0.71,124.81,0.55,-6.04,0.25,0.28,0.07,0.0
7tYKF4w9nC0nq9CsPZTHyP,SZA,"pop,r&b,rap",6257002,86,0.69,0.62,115.95,0.43,-5.76,0.1,0.18,0.2,0.0
181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,"houston rap,pop,trap queen",5194301,86,0.84,0.71,137.06,0.58,-5.21,0.25,0.16,0.03,0.0
14zUHaJZo1mnYtn6IBRaRP,Justin Quiles,"latin,reggaeton,trap latino",2992147,86,0.78,0.72,129.74,0.71,-4.41,0.14,0.14,0.16,0.0
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,"dance pop,pop,post-teen pop",30179689,85,0.72,0.59,115.68,0.52,-6.71,0.14,0.14,0.25,0.0
6vWDO969PvNqNYHIOW5v0m,Beyoncé,"dance pop,pop,r&b",29012079,85,0.57,0.56,110.72,0.42,-8.02,0.15,0.25,0.29,0.03
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,"dance pop,pop,post-teen pop",23567429,85,0.62,0.58,112.23,0.42,-5.96,0.11,0.14,0.28,0.0
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,"alternative metal,nu metal,post-grunge,rap metal",20094336,85,0.58,0.8,116.85,0.5,-5.23,0.07,0.27,0.08,0.02
6jJ0s89eD6GaHleKKya26X,Katy Perry,"dance pop,pop,post-teen pop",19410159,85,0.69,0.69,119.34,0.46,-5.6,0.08,0.16,0.16,0.0
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,"dance pop,pop,post-teen pop",16240083,85,0.61,0.7,119.1,0.43,-5.38,0.06,0.2,0.07,0.0
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,"art pop,pop",14147298,85,0.48,0.4,107.88,0.23,-10.06,0.05,0.14,0.6,0.04
28gNT5KBp7IjEOQoevXf9N,Camilo,"colombian pop,reggaeton colombiano",11579949,85,0.71,0.7,142.58,0.8,-4.1,0.11,0.17,0.23,0.0
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,"dance pop,hip hop,pittsburgh rap,pop rap,rap,southern hip hop,trap",10170703,85,0.8,0.65,134.19,0.5,-6.0,0.16,0.23,0.08,0.0
0TnOYISbd1XYRBk9myaseg,Pitbull,"dance pop,latin,miami hip hop,pop,pop rap",8741613,85,0.68,0.85,98.64,0.72,-3.64,0.11,0.12,0.11,0.0
2kCcBybjl3SAtIcwdWpUe3,Lil Peep,"emo rap,lgbtq+ hip hop",7897658,85,0.54,0.65,122.01,0.31,-6.8,0.07,0.2,0.1,0.01
4LLpKhyESsyAXpc4laK94U,Mac Miller,"hip hop,pittsburgh rap,rap",6404097,85,0.68,0.44,122.86,0.35,-9.5,0.15,0.15,0.48,0.02
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,"atl hip hop,hip hop,plugg,rap,trap",5229161,85,0.76,0.61,132.89,0.38,-6.38,0.17,0.19,0.07,0.0
1bAftSH8umNcGZ0uyV7LMg,Duki,"argentine hip hop,trap argentino,trap latino,trap triste",4646331,85,0.65,0.74,125.78,0.5,-3.96,0.05,0.13,0.2,0.0
2cFrymmkijnjDg9SS92EPM,blackbear,"pop,pop rap",4387240,85,0.71,0.7,109.9,0.54,-5.55,0.09,0.23,0.07,0.0
6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,"ohio hip hop,pop rap",4035390,85,0.63,0.77,130.19,0.46,-5.09,0.09,0.23,0.04,0.0
6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,"brooklyn drill,melodic rap,nyc rap",3878319,85,0.64,0.58,112.06,0.33,-7.3,0.32,0.11,0.21,0.0
4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,"gauze pop,indietronica,shiver pop",2044285,85,0.8,0.55,115.41,0.69,-6.42,0.09,0.1,0.28,0.0
4fxd5Ee7UefO4CUXgwJ7IP,Giveon,"pop,r&b",1604124,85,0.74,0.45,122.95,0.04,-7.51,0.35,0.11,0.63,0.0
