track_id,name,artist_id,artist_name,genres,popularity,explicit,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,collabs
1fCeXjoRExPP2qwSBh2aST,Black & White,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,"chicago rap,melodic rap",74,TRUE,186945,0.776,0.736,-4.612,0.247,0.0802,0.0,0.159,0.233,147.946,0
73F87Sqh6jQWucOOvz1WFx,"Genius (feat. Sia, Diplo, and Labrinth)","5WUlDfRSoLAfcVSX1WnrxN,5fMUXHkw8R8eOP2RNVYEZX,2feDdbD5araYcm6JhFHHw7,6IZ4ctovY9dl7bgHClAvKJ","Sia,Diplo,Labrinth,LSD","australian dance,australian pop,pop,bmore,dance pop,edm,electro house,house,moombahton,ninja,pop,pop dance,tropical house,indie poptimism,pop",74,FALSE,213706,0.622,0.621,-4.924,0.129,0.0864,9.8e-05,0.121,0.567,158.946,1
224EVTFiLsdQignUFLvDeH,Pa Mí - Remix,"0KPX4Ucy9dk82uj4GpKesn,11YLRSsZA3YVuQQtHXKTlz,4m6ubhNsdwF4psNf3R8kwR,77ziqFxp5gaInVrF2lj4ht,2LRoIwlKmHjgvigdNGBHNo,6w3SkAHYPsQ1bxV7VDlG5y,1pQWsZQehhS4wavwh7Fnxd","Dalex,Rafa Pabön,KHEA,Sech,Feid,Cazzu,Lenny Tavárez","latin,r&b en espanol,reggaeton,trap latino,dominican pop,reggaeton,reggaeton flow,trap latino,argentine hip hop,trap argentino,trap latino,trap triste,latin,panamanian pop,reggaeton,trap latino,colombian pop,latin,pop reggaeton,reggaeton,reggaeton colombiano,trap latino,argentine hip hop,latin,latin pop,rap latina,reggaeton,trap argentino,trap latino,latin,reggaeton,reggaeton flow,trap argentino,trap latino",74,TRUE,360960,0.688,0.62,-8.029,0.22,0.753,5.27e-06,0.158,0.727,170.018,1
3TnhQSRwT3AVMdXw5JPq0x,Nena Maldición (feat. Lenny Tavárez),"3vQ0GE3mI0dAaxIMYe5g7z,1pQWsZQehhS4wavwh7Fnxd","Paulo Londra,Lenny Tavárez","argentine hip hop,trap argentino,trap latino,latin,reggaeton,reggaeton flow,trap argentino,trap latino",74,FALSE,228874,0.762,0.631,-4.837,0.0544,0.178,0.0,0.146,0.379,118.969,1
6IZvVAP7VPPnsGX6bvgkqg,PRIDE.,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,"conscious hip hop,hip hop,rap,west coast rap",74,TRUE,275253,0.665,0.535,-7.056,0.0572,0.0786,1.68e-05,0.154,0.37,138.842,0
5icOoE6VgqFKohjWWNp0Ac,Here With Me,"64KEffDW9EtZ1y2vBYgq8T,3CjlHNtplJyTf9npxaPl5w","Marshmello,CHVRCHES","brostep,edm,pop,pop dance,progressive electro house,electropop,indie pop,indie poptimism,metropopolis,neo-synthpop,pop rock,shimmer pop",74,FALSE,156346,0.791,0.565,-3.933,0.0439,0.0623,0.0,0.156,0.181,99.961,1
4WjH9Bzt3kx7z8kl0awxh4,Lean On (feat. MØ & DJ Snake),"738wLrAtLtCtFOLvQBXOXp,0bdfiayQAKewqEvaU6rXCv,540vIaP2JwjQb9dm3aArA4","Major Lazer,MØ,DJ Snake","dance pop,edm,electro house,moombahton,pop,pop dance,pop rap,art pop,dance pop,danish pop,electropop,indie poptimism,pop,tropical house,dance pop,edm,electronic trap,pop,pop dance,pop rap",74,FALSE,176561,0.723,0.809,-3.081,0.0625,0.00346,0.00123,0.565,0.274,98.007,1
6xdLJrVj4vIXwhuG8TMopk,Crazy Little Thing Called Love - Remastered 2011,1dfeR4HaWDbWqFHLkxsg1d,Queen,"classic rock,glam rock,rock",74,FALSE,163373,0.599,0.761,-6.887,0.0421,0.713,4.74e-06,0.349,0.712,77.015,0
7JDWhC422Gtk1Bq0mL3OTC,feel something,1o2NpYGqHiCq7FoiYdyd1x,Bea Miller,"alt z,dance pop,electropop,indie poptimism,modern rock,pop,post-teen pop,talent show",74,TRUE,180161,0.74,0.415,-8.914,0.0707,0.242,0.000156,0.319,0.156,136.029,0
3QwBODjSEzelZyVjxPOHdq,Otra vez (feat. J Balvin),"21451j1KhjAiaYKflxBjr1,1vyhD5VmyZ7KMfW5gqLgo5","Zion & Lennox,J Balvin","latin,latin hip hop,reggaeton,trap latino,latin,reggaeton,reggaeton colombiano,trap latino",74,FALSE,209453,0.832,0.772,-5.429,0.1,0.0559,0.000486,0.44,0.704,96.016,1
6iYMfxznTBlcVOgRHab2W0,"Sunflower, Vol. 6",6KImCVD70vtIoJWnq6nGn3,Harry Styles,pop,74,FALSE,221826,0.566,0.846,-6.904,0.035,0.000564,0.000795,0.121,0.86,160.02,0
2AkmdLbVKS1steeZdy8H1l,I Want To Break Free - Single Remix,1dfeR4HaWDbWqFHLkxsg1d,Queen,"classic rock,glam rock,rock",74,FALSE,258013,0.795,0.435,-8.927,0.0324,0.0841,0.00026,0.0763,0.596,108.95,0
7Bar1kLTmsRmH6FCKKMEyU,Hit Different,"7tYKF4w9nC0nq9CsPZTHyP,0KuF7reCTOZwV7YJnHQqgr,2RdwBSPQiwcmiDo9kixcl8,7c0XG5cIJTrrAgEC3ULPiq","SZA,The Neptunes,Pharrell Williams,Ty Dolla $ign","pop,r&b,rap,pop rap,hip hop,pop,pop rap,r&b,southern hip hop,trap,trap soul",74,TRUE,202007,0.679,0.516,-6.371,0.0452,0.199,0.0,0.0965,0.716,120.074,1
7fa9MBXhVfQ8P8Df9OEbD8,Girls Like You (feat. Cardi B) - Cardi B Version,"04gDigrS5kc9YWfZHwBETP,4kYSro6naA4h99UJvo89HB","Maroon 5,Cardi B","pop,pop rock,dance pop,pop,pop rap,rap",74,TRUE,235545,0.851,0.541,-6.825,0.0505,0.568,0.0,0.13,0.448,124.959,1
7b8YOVV5quZcSKEijDgyWB,DDU-DU DDU-DU,41MozSoPIsD1dJM0CLPjZF,BLACKPINK,"k-pop,k-pop girl group",74,FALSE,211350,0.671,0.859,-3.922,0.0833,0.0313,0.0,0.267,0.39,139.931,0
2kqnQCChvRpDRAasIwc4Rh,Maria,7bmYpVgQub656uNTu6qGNQ,Hwa Sa,"k-pop,korean mask singer",74,FALSE,199026,0.667,0.745,-2.96,0.0621,0.238,2.06e-06,0.255,0.482,128.972,0
0JAZWvvqttGFm4UMDsPQXC,Despeinada,"1i8SpTcr7yvPOmcqrbnVXY,28gNT5KBp7IjEOQoevXf9N","Ozuna,Camilo","latin,puerto rican pop,reggaeton,trap latino,colombian pop,reggaeton colombiano",74,FALSE,224186,0.734,0.775,-3.855,0.0614,0.186,0.000542,0.123,0.72,166.039,1
5WoaF1B5XIEnWfmb5NZikf,Sky Walker (feat. Travis Scott),"360IAlyVv4PCEVjgyMZrxK,0Y5tJX1MQlPlqiwlOH1tJY","Miguel,Travis Scott","dance pop,pop,r&b,urban contemporary,rap,slap house",74,TRUE,259333,0.674,0.506,-10.532,0.0434,0.173,0.0,0.0866,0.183,145.965,1
6lhZLbb0czULpjb2kFryPS,Let's Love,"1Cs0zKBU1kc0i8ypK3B9ai,5WUlDfRSoLAfcVSX1WnrxN","David Guetta,Sia","big room,dance pop,edm,pop,pop dance,pop rap,australian dance,australian pop,pop",74,FALSE,200645,0.662,0.868,-4.025,0.0341,0.00882,0.00244,0.584,0.353,92.998,1
6wQlQrTY5mVS8EGaFZVwVF,Smile (with The Weeknd),"4MCBfE4596Uoi2O4DtmEMz,1Xyo4u8uXC1ZmMpatF05PJ","Juice WRLD,The Weeknd","chicago rap,melodic rap,canadian contemporary r&b,canadian pop,pop",74,TRUE,196180,0.694,0.685,-6.535,0.133,0.224,0.0,0.124,0.306,158.831,1
0P6AWOA4LG1XOctzaVu5tt,The Weekend - Funk Wav Remix,"7tYKF4w9nC0nq9CsPZTHyP,7CajNmpbOovFoOoasH2HaY,4A0TivfinfALCAMJqqjZIk","SZA,Calvin Harris,Funk Wav","pop,r&b,rap,dance pop,edm,electro house,house,pop,progressive house,uk dance",74,FALSE,171805,0.775,0.573,-4.933,0.0585,0.495,0.0,0.126,0.667,101.925,1
3KUGAgxo3b81X5bWoOp0U8,Back Door,2dIgFjalVxs4ThymZ67YCE,Stray Kids,"k-pop,k-pop boy group",74,FALSE,189286,0.82,0.842,-3.853,0.272,0.157,0.0,0.112,0.653,107.952,0
7wFybC8jBH3zE139OpCtpG,Lost in the Fire (feat. The Weeknd),"3hteYQFiMFbJY7wS0xDymP,1Xyo4u8uXC1ZmMpatF05PJ","Gesaffelstein,The Weeknd","dark clubbing,destroy techno,canadian contemporary r&b,canadian pop,pop",74,TRUE,202093,0.663,0.675,-12.159,0.0359,0.0863,0.00133,0.117,0.176,101.004,1
1H38sYlpu36Qoibsb9lMG4,Bad At Love,26VFTg2z8YR0cCuwLzESi2,Halsey,"dance pop,electropop,etherpop,indie poptimism,pop",74,FALSE,181279,0.669,0.75,-3.55,0.0346,0.0624,0.0,0.088,0.549,118.251,0
2ygvZOXrIeVL4xZmAWJT2C,my future,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,"electropop,pop",74,FALSE,208155,0.444,0.309,-10.956,0.062,0.795,0.132,0.352,0.0875,104.745,0
