artist_id,followers,genres,popularity,name
3DiDSECUqqY1AuBP8qtaIa,8981771,"hip pop, neo soul, pop, r&b, urban contemporary",79,Alicia Keys
0oOet2f43PA68X5RxKobEy,8852636,"desi pop, filmi, modern bollywood, sufi",77,Shreya Ghoshal
51Blml2LZPmy7TTiAg47vQ,8813090,"irish rock, permanent wave, rock",79,U2
0c173mlxpT3dSFRgMO8XPh,8806914,"detroit hip hop, hip hop, pop, pop rap, rap, southern hip hop, trap",82,Big Sean
0TnOYISbd1XYRBk9myaseg,8728290,"dance pop, latin, miami hip hop, pop",84,Pitbull
0XwVARXT135rw8lyw1EeWP,8683923,"mariachi, nuevo regional mexicano, ranchera, regional mexican",83,Christian Nodal
4IWBUUAFIplrNtaOHcJPRM,8674797,"pop, talent show, uk pop",82,James Arthur
4GNC7GD6oZMSxPGyXy4MNB,8647960,"pop, uk pop",82,Lewis Capaldi
1McMsnEElThX1knmY4oliG,8466664,pop,92,Olivia Rodrigo
1zNqDE7qDGCsyzJwohVaoX,8439189,"dance pop, pop, pop dance, post-teen pop, tropical house, uk pop",82,Anne-Marie
163tK9Wjr9P9DmM0AVK7lm,8380607,"art pop, dance pop, electropop, metropopolis, nz pop, pop",82,Lorde
5pUo3fmmHT8bhCyHE52hA6,8323242,"dance pop, pop, post-teen pop",71,Liam Payne
5f7VJjfbwm532GiveGC0ZK,8303395,"atl hip hop, atl trap, rap, trap",92,Lil Baby
73sIBHcqh3Z3NyqHKZ7FOL,8296434,"atl hip hop, hip hop, pop rap, rap",79,Childish Gambino
2h93pZq0e7k5yf4dywlkpM,8289690,"alternative r&b, hip hop, lgbtq+ hip hop, neo soul, pop",83,Frank Ocean
4tZwfgrHOc3mvqYlEYSvVi,8243217,"electro, filter house",81,Daft Punk
0jnsk9HBra6NMjO2oANoPY,8234776,"dance pop, miami hip hop, pop, pop rap",81,Flo Rida
0tmwSHipWxN12fsoLcFU3B,8214617,"colombian pop, latin, reggaeton, reggaeton colombiano, trap latino",81,Manuel Turizo
0eecdvMrqBftK0M1VKhaF4,8116144,"boy band, latin, latin pop, reggaeton",74,CNCO
4r63FhuTkUYltbVAg5TQnk,8044846,"north carolina hip hop, rap",89,DaBaby
3BmGtnKgCSGYIUhmivXKWX,8029248,"dance pop, neo mellow, pop, pop rock, post-teen pop, talent show",75,Kelly Clarkson
