track_id,times_in_daily_chart,top_peak_pos,avg_chart_pos,total_streams,January_streams,November_streams,February_streams,March_streams,April_streams,May_streams,June_streams,July_streams,August_streams,September_streams,October_streams,December_streams,popularity,explicit,name,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
367wyLNqQMr5e8S2E6Zvpp,1,101.0,101.0,137042.0,,,,,,,,,137042.0,,,,63,False,Daisies,Katy Perry,6jJ0s89eD6GaHleKKya26X,0.642,0.546,1.0,-5.377,1.0,0.0407,0.0825,0.0,0.0989,0.142,122.165,174313.0,4.0
59s3aMqR9uOzLIXAcgBCEm,1,102.0,102.0,135980.0,,,,,,,,,135980.0,,,,62,False,Smile,Katy Perry,6jJ0s89eD6GaHleKKya26X,0.783,0.912,0.0,-3.713,1.0,0.243,0.0238,0.0,0.339,0.749,98.025,166898.0,4.0
1TEEi8aHzb4tGcLJdsepb1,1,138.0,138.0,135924.0,,,135924.0,,,,,,,,,,72,False,My Time,BTS,3Nrfpe0tUJi4K4DXYWgMUX,0.674,0.64,0.0,-5.139,0.0,0.0339,0.151,0.0,0.0925,0.664,99.908,234458.0,4.0
0AaV4MJrgmLV3XhoiWXjjb,1,133.0,133.0,135621.0,,,,,,,,,,,,135621.0,59,False,evermore (feat. Bon Iver),"Taylor Swift, Bon Iver","06HL4z0CvFAxyc27GXpf02, 4LEiUm1SRbFMgfqnQTwUbQ",0.395,0.27,1.0,-10.672,1.0,0.0309,0.937,0.00249,0.111,0.314,120.94,304107.0,5.0
1aKuG1GG76xPLUkjBbQo3W,1,140.0,140.0,135350.0,,,135350.0,,,,,,,,,,70,False,UGH!,BTS,3Nrfpe0tUJi4K4DXYWgMUX,0.72,0.824,10.0,-5.086,0.0,0.128,0.0394,0.0,0.0509,0.333,165.998,225012.0,4.0
0FAVMjX1bhZeLVXSo5KxMh,1,164.0,164.0,135324.0,,,,,,,,,,,,135324.0,54,False,SÃ³ Foi Beber pra Lembrar (Ao Vivo),"Os BarÃµes Da Pisadinha, Xand AviÃ£o","5Lv2GUVwqmQBPwrTrxucE5, 43DRDu6nLSeIedZ7T1A616",0.68,0.811,6.0,-4.392,0.0,0.0586,0.0392,0.0,0.113,0.822,82.976,142544.0,4.0
6R92Hn1Zpy1FL5nrTQJxPu,1,80.0,80.0,135022.0,,,,,,,,,,135022.0,,,41,False,Pessoas,"BK, JXNV$","1YOVBTvznjiDvtAj4ExHeo, 2eYGPD8O1chWmQ92TvdtCW",0.53,0.52,7.0,-8.214,1.0,0.268,0.49,0.000941,0.286,0.297,89.946,217045.0,4.0
2Wr7dUhp537y5JzKtyqheq,1,114.0,114.0,134700.0,,134700.0,,,,,,,,,,,50,False,frequente(mente),"CHAMELEO, Pabllo Vittar","2ZteSwWooU45Mec1C2EdA0, 6tzRZ39aZlNqlUzQlkuhDV",0.583,0.768,11.0,-6.041,0.0,0.0785,0.037,0.0,0.154,0.232,137.953,173500.0,4.0
1tJ7QglWwgMg3XDG82ZMsF,1,130.0,130.0,134007.0,,,,,,,,,,134007.0,,,50,False,Empezar Desde Cero,"RBD, AnahÃ­, Dulce MarÃ­a, Maite Perroni, Christian ChÃ¡vez, Christopher von Uckermann, Alfonso Herrera","7cjh6y0V9SsyCrWSXTzwOs, 0TeVa4xdLB8vdzjsvKH6Ri, 6kaefrHSdAvxhhCVDFTCEL, 6ModsWtBph2rE6zCTVxvZt, 0aMqt2uGLuHj4eI8oXgVzN, 5O8cudluftNZ6PCwRzvYxo, 0veZkZPeWoJQ9gt6VAXlkN",0.739,0.68,1.0,-6.855,1.0,0.0344,0.19,0.000105,0.112,0.892,125.022,194813.0,4.0
6cIltBt7JkdQ9eCk97fkya,1,120.0,120.0,133668.0,,133668.0,,,,,,,,,,,38,False,ParabÃ©ns - veronicat e Boombeat Remix,"Pabllo Vittar, veronicat, Boombeat","6tzRZ39aZlNqlUzQlkuhDV, 0gASHVPuYPoOjYvnSSrUnx, 6a0FqgWigKdF7FsjHYMspg",0.887,0.701,10.0,-5.538,0.0,0.0678,0.126,0.0,0.232,0.47,93.027,140667.0,4.0
1IIV8jglA0klVZy17q665k,1,109.0,109.0,132889.0,,,,,,,,,132889.0,,,,66,False,Never Really Over,Katy Perry,6jJ0s89eD6GaHleKKya26X,0.77,0.881,8.0,-4.776,1.0,0.067,0.217,0.0,0.324,0.367,99.995,223297.0,4.0
5LZtB6nxvjIhUoElp3Zqk0,1,129.0,129.0,132642.0,,,,,,,,,,,,132642.0,68,False,Teach Me How To Love,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,0.592,0.885,9.0,-4.944,0.0,0.0807,0.0505,2.38e-06,0.0843,0.731,98.991,202357.0,4.0
0PCmv9I0Bc0hG4nbMKmHv1,1,81.0,81.0,132627.0,,,,,,,,,,132627.0,,,39,False,Megazord,"BK, JXNV$","1YOVBTvznjiDvtAj4ExHeo, 2eYGPD8O1chWmQ92TvdtCW",0.788,0.744,9.0,-4.403,0.0,0.0719,0.0276,0.0506,0.127,0.338,125.012,217478.0,4.0
19CSr8rwW05VJL2F91KFNK,1,139.0,139.0,132548.0,,,,,,,,,,,,132548.0,66,True,ivy,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.515,0.545,2.0,-9.277,1.0,0.0353,0.855,1.97e-05,0.0921,0.535,88.856,260440.0,4.0
5QIA7Vtt3RDf5mCaOlvHkn,1,131.0,131.0,132067.0,,,,,,,,,,132067.0,,,47,False,Fuego,"RBD, AnahÃ­, Dulce MarÃ­a, Maite Perroni, Christian ChÃ¡vez, Christopher von Uckermann, Alfonso Herrera","7cjh6y0V9SsyCrWSXTzwOs, 0TeVa4xdLB8vdzjsvKH6Ri, 6kaefrHSdAvxhhCVDFTCEL, 6ModsWtBph2rE6zCTVxvZt, 0aMqt2uGLuHj4eI8oXgVzN, 5O8cudluftNZ6PCwRzvYxo, 0veZkZPeWoJQ9gt6VAXlkN",0.662,0.848,1.0,-5.144,0.0,0.0357,0.761,0.0,0.35,0.874,125.131,181720.0,4.0
3A1LphuJ5lQD6NjPtxtYFh,2,186.0,190.0,131977.0,,,,,131977.0,,,,,,,,64,False,Aquela Pessoa - Ao Vivo,Henrique & Juliano,3p7PcrEHaaKLJnPUGOtRlT,0.688,0.744,0.0,-5.739,1.0,0.0351,0.535,0.0,0.376,0.751,108.059,163120.0,4.0
0NYHOqjtfbY7ovylIPEfM1,1,127.0,127.0,131092.0,,131092.0,,,,,,,,,,,39,False,TÃ­mida - A Travestis Remix,"Pabllo Vittar, A Travestis","6tzRZ39aZlNqlUzQlkuhDV, 00Jb0oU8RUPJgKTWKsNCxw",0.66,0.576,6.0,-6.565,1.0,0.229,0.135,0.0,0.0632,0.592,199.001,185040.0,4.0
0UwQTbq7ZtBJ7v530mpaxP,1,78.0,78.0,130482.0,,,,,,,130482.0,,,,,,62,False,Stay Gold,BTS,3Nrfpe0tUJi4K4DXYWgMUX,0.724,0.631,1.0,-5.403,1.0,0.0517,0.0873,0.0,0.0752,0.548,129.019,243733.0,4.0
23jEeXRyrjFbfs2Q8tBwdI,1,71.0,71.0,130399.0,,,,130399.0,,,,,,,,,55,False,Physical (feat. Hwa Sa),"Dua Lipa, Hwa Sa","6M2wZ9GZgrQXHCFfjv46we, 7bmYpVgQub656uNTu6qGNQ",0.661,0.873,0.0,-3.333,1.0,0.0482,0.0288,0.00164,0.136,0.687,146.943,193697.0,4.0
