genre,total_genre_streams,number_of_tracks,number_of_artists
korean mask singer,2672817.0,2.0,1.0
dixieland,2672117.0,1.0,1.0
new orleans jazz,2672117.0,1.0,1.0
harlem renaissance,2672117.0,1.0,1.0
jazz trumpet,2672117.0,1.0,1.0
nashville sound,2665821.0,2.0,1.0
modern alternative pop,2603238.0,2.0,1.0
novelty,2599350.0,1.0,1.0
neo-singer-songwriter,2541626.0,1.0,1.0
political hip hop,2499745.0,2.0,3.0
british indie rock,2496902.0,2.0,1.0
funk ostentacao,2192827.0,1.0,1.0
classic canadian rock,2049895.0,1.0,1.0
canadian singer-songwriter,2049895.0,1.0,1.0
pop virale italiano,1940408.0,1.0,1.0
rock en espanol,1878670.0,2.0,2.0
latin alternative,1878670.0,2.0,2.0
south carolina hip hop,1855570.0,2.0,1.0
hi-nrg,1841298.0,1.0,1.0
reggaeton mexicano,1810728.0,1.0,2.0
hyphy,1794828.0,1.0,1.0
west coast trap,1794828.0,1.0,1.0
hawaiian hip hop,1702996.0,2.0,1.0
rap sardegna,1679819.0,2.0,1.0
lo-fi beats,1630086.0,1.0,1.0
new americana,1570969.0,2.0,1.0
roots rock,1570969.0,2.0,1.0
alternative country,1570969.0,2.0,1.0
folk,1570969.0,2.0,1.0
swedish hip hop,1549087.0,2.0,1.0
german trap,1538778.0,2.0,2.0
south african pop dance,1464503.0,1.0,1.0
german techno,1461267.0,2.0,1.0
psychedelic soul,1456832.0,1.0,1.0
indie jazz,1456832.0,1.0,1.0
movie tunes,1448388.0,1.0,1.0
southern rock,1438538.0,1.0,1.0
argentine indie,1309697.0,1.0,1.0
spanish rock,1291984.0,1.0,1.0
latin rock,1291984.0,1.0,1.0
schlager,1285882.0,1.0,1.0
partyschlager,1285882.0,1.0,1.0
classic schlager,1285882.0,1.0,1.0
guaracha,1282606.0,1.0,2.0
milan indie,1276214.0,1.0,1.0
bergamo indie,1276214.0,1.0,1.0
nova mpb,1259796.0,1.0,1.0
rai,1135893.0,1.0,1.0
moroccan pop,1135893.0,1.0,1.0
rap maroc,1135893.0,1.0,1.0
arabic hip hop,1135893.0,1.0,1.0
contemporary vocal jazz,1088492.0,1.0,1.0
big band,1062028.0,1.0,1.0
turntablism,1052979.0,1.0,1.0
jazz boom bap,1052979.0,1.0,1.0
korean ost,921575.0,1.0,1.0
korean pop,921575.0,1.0,1.0
disco house,879683.0,1.0,1.0
russelater,856986.0,1.0,1.0
uk diy punk,848159.0,1.0,1.0
black punk,848159.0,1.0,1.0
danish pop,843385.0,1.0,1.0
industrial hip hop,839395.0,1.0,1.0
australian country,835522.0,1.0,1.0
british singer-songwriter,829533.0,1.0,1.0
irish rock,828738.0,1.0,1.0
crunk,819014.0,1.0,1.0
rap rock,809782.0,1.0,1.0
rock keyboard,803820.0,1.0,1.0
modern blues,797681.0,1.0,1.0
english indie rock,788712.0,1.0,1.0
kent indie,788712.0,1.0,1.0
drill francais,788104.0,1.0,1.0
deep groove house,787607.0,1.0,1.0
portland hip hop,761730.0,1.0,1.0
boston hip hop,744963.0,1.0,1.0
rif,742390.0,1.0,1.0
rumba congolaise,742159.0,1.0,1.0
azontobeats,742159.0,1.0,1.0
british invasion,722777.0,1.0,1.0
cologne hip hop,712081.0,1.0,1.0
german reggae,712081.0,1.0,1.0
reggaeton chileno,706612.0,1.0,1.0
pagode novo,705043.0,1.0,1.0
pagode,705043.0,1.0,1.0
grunge,700797.0,1.0,1.0
ritmo kombina,692113.0,1.0,1.0
dutch pop,668024.0,1.0,1.0
azonto,653196.0,1.0,1.0
indie liguria,642366.0,1.0,1.0
circuit,641303.0,1.0,1.0
instrumental funk,588554.0,1.0,1.0
nu-cumbia,586686.0,1.0,1.0
veracruz indie,586686.0,1.0,1.0
gruperas inmortales,586686.0,1.0,1.0
tropical,586686.0,1.0,1.0
